,date,user_loc,followers,friends,message,tokens,no,predictions
13,2/19/2019 11:11,"Exmoor National Park, England",486,246,tuesdaythoughts let's keep  special by reducing plastic. plasticfree exmoor ,"['tuesdaythoughts', 'lets', 'keep', 'special', 'reducing', 'plastic', 'plasticfree', 'exmoor']","['lets', 'keep', 'special', 'reducing', 'plastic', 'plasticfree', 'exmoor']",0
14,2/19/2019 11:11,"England, United Kingdom",7945,8739,what is the best thing about being a writer  ? a blog.  tuesdaythoughts amwriting books ,"['best', 'thing', 'writer', 'blog', 'tuesdaythoughts', 'amwriting', 'books']","['best', 'thing', 'writer', 'blog', 'amwriting', 'books']",4
15,2/19/2019 11:11,"Lagos, Nigeria",1527,1552,"keep going, don't stop tuesdaymotivation tuesdaythoughts","['keep', 'going', 'dont', 'stop', 'tuesdaymotivation', 'tuesdaythoughts']","['keep', 'going', 'dont', 'stop', 'tuesdaymotivation']",0
16,2/19/2019 11:11,England,47,72,"happy tuesday, how is your week going so far? what are your tuesdaythoughts","['happy', 'tuesday', 'week', 'going', 'far', 'tuesdaythoughts']","['happy', 'week', 'going', 'far']",0
17,2/19/2019 11:11,"Pensacola, FL ",213,390,"just a reminder: do not check up on the toxic person you left , stopped talkin to , or stopped being friends with.… ","['reminder', 'check', 'toxic', 'person', 'left', 'stopped', 'talkin', 'stopped', 'friends', 'with…']","['reminder', 'check', 'toxic', 'person', 'left', 'stopped', 'talkin', 'stopped', 'friends', 'with…']",0
18,2/19/2019 11:11,https://www.amazon.com/dp/B07KZSBL3C,0,0,do more with today sidra shaukat tuesdaythoughts tuesdaymotivation,"['today', 'sidra', 'shaukat', 'tuesdaythoughts', 'tuesdaymotivation']","['today', 'sidra', 'shaukat', 'tuesdaymotivation']",0
19,2/19/2019 11:11,"Philly, NYC, Toronto, San Fran, LA & UK",1382,2863,"tuesdaythoughts this ""molecular coffee"" is brewed entirely without beans  .⁦ atomo coffee labtotable… ","['tuesdaythoughts', 'molecular', 'coffee', 'brewed', 'entirely', 'without', 'beans', '\u2066', 'atomo', 'coffee', 'labtotable…']","['molecular', 'coffee', 'brewed', 'entirely', 'without', 'beans', '\u2066', 'atomo', 'coffee', 'labtotable…']",4
20,2/19/2019 11:11,💗,4,127,"twitter has no ethics only truth , good day bye tuesdaythoughts","['twitter', 'ethics', 'truth', 'good', 'day', 'bye', 'tuesdaythoughts']","['twitter', 'ethics', 'truth', 'good', 'day', 'bye']",4
21,2/19/2019 11:11,Germany,231,225,"here sleeps a girl with a head full of magical dreams, a heart full of wonder and hands that will shape the world.… ","['sleeps', 'girl', 'head', 'full', 'magical', 'dreams', 'heart', 'full', 'wonder', 'hands', 'shape', 'world…']","['sleeps', 'girl', 'head', 'full', 'magical', 'dreams', 'heart', 'full', 'wonder', 'hands', 'shape', 'world…']",0
22,2/19/2019 11:11,"East Midlands, UK",8403,4144,"teaching digital subjects alone won't close the skills gap""  interesting read via   ","['teaching', 'digital', 'subjects', 'alone', 'wont', 'close', 'skills', 'gap', 'interesting', 'read', 'via']","['teaching', 'digital', 'subjects', 'alone', 'wont', 'close', 'skills', 'gap', 'interesting', 'read', 'via']",0
23,2/19/2019 11:11,Northern Ireland,32,48,"happy tuesday, how is your week going so far? what are your tuesdaythoughts","['happy', 'tuesday', 'week', 'going', 'far', 'tuesdaythoughts']","['happy', 'week', 'going', 'far']",0
24,2/19/2019 11:11,"North West, England",92,231,i always advocate for body positivity for everyone but i can't even bring myself to look at my own body in the mirr… ,"['always', 'advocate', 'body', 'positivity', 'everyone', 'cant', 'even', 'bring', 'look', 'body', 'mirr…']","['always', 'advocate', 'body', 'positivity', 'everyone', 'cant', 'even', 'bring', 'look', 'body', 'mirr…']",4
25,2/19/2019 11:11,https://www.amazon.com/dp/B07KZSBL3C,0,0,it's time to get positive sidra shaukat tuesdaythoughts tuesdaymotivation,"['time', 'get', 'positive', 'sidra', 'shaukat', 'tuesdaythoughts', 'tuesdaymotivation']","['time', 'get', 'positive', 'sidra', 'shaukat', 'tuesdaymotivation']",4
26,2/19/2019 11:11,Africa ,31,42,share your thoughts on your life in 3 words. tuesdaymotivation tuesdaythoughts chooseday courage leadership tsaon3,"['share', 'thoughts', 'life', '3', 'words', 'tuesdaymotivation', 'tuesdaythoughts', 'chooseday', 'courage', 'leadership', 'tsaon3']","['share', 'life', '3', 'words', 'tuesdaymotivation', 'chooseday', 'courage', 'leadership', 'tsaon3']",4
27,2/19/2019 11:11,"Ottawa, Ontario",151,210, great fact videomarketing marketingstrategy tuesdaythoughts tuesdaymotivation sjsharks loonaiscomingback,"['great', 'fact', 'videomarketing', 'marketingstrategy', 'tuesdaythoughts', 'tuesdaymotivation', 'sjsharks', 'loonaiscomingback']","['great', 'fact', 'videomarketing', 'marketingstrategy', 'tuesdaymotivation', 'sjsharks', 'loonaiscomingback']",0
28,2/19/2019 11:11,"Port Harcourt, Nigeria",1506,4941,"pizza primavera served with a chilled  draught beer, our pastry chef robinson’s pizza of the day. ret… ","['pizza', 'primavera', 'served', 'chilled', 'draught', 'beer', 'pastry', 'chef', 'robinson’s', 'pizza', 'day', 'ret…']","['pizza', 'primavera', 'served', 'chilled', 'draught', 'beer', 'pastry', 'chef', 'robinson’s', 'pizza', 'day', 'ret…']",0
29,2/19/2019 11:11,,1610,3679,chinamac talking facts allstarweekend allstars4 allstarweekend2019 allstars4finale loona_butterfly… ,"['chinamac', 'talking', 'facts', 'allstarweekend', 'allstars4', 'allstarweekend2019', 'allstars4finale', 'loonabutterfly…']","['chinamac', 'talking', 'facts', 'allstarweekend', 'allstars4', 'allstarweekend2019', 'allstars4finale', 'loonabutterfly…']",4
30,2/19/2019 11:11,,0,0,following from my previous tweet. tuesdaythoughts ,"['following', 'previous', 'tweet', 'tuesdaythoughts']","['following', 'previous', 'tweet']",4
31,2/19/2019 11:12,,16,126,"it might be easier said than done, but you won't know unless you try. cjtgejewel cjspeaks butterflyjewels… ","['might', 'easier', 'said', 'done', 'wont', 'know', 'unless', 'try', 'cjtgejewel', 'cjspeaks', 'butterflyjewels…']","['might', 'easier', 'said', 'done', 'wont', 'know', 'unless', 'try', 'cjtgejewel', 'cjspeaks', 'butterflyjewels…']",0
32,2/19/2019 11:12,LM•AG•DL•BTS,1863,311,we stan todrick,"['stan', 'todrick']","['stan', 'todrick']",0
33,2/19/2019 11:12,"Nairobi, Kenya",5908,4847,is size8nitembeenawewe a hit or a miss? cast your vote here. nairobi tuesdaymotivation tuesdaythoughts ,"['size8nitembeenawewe', 'hit', 'miss', 'cast', 'vote', 'nairobi', 'tuesdaymotivation', 'tuesdaythoughts']","['size8nitembeenawewe', 'hit', 'miss', 'cast', 'vote', 'nairobi', 'tuesdaymotivation']",0
34,2/19/2019 11:12,"Nairobi, Kenya",1097,26,"primary and high school education could include modules on farming, from growing to marketing crops. this could hel… ","['primary', 'high', 'school', 'education', 'could', 'include', 'modules', 'farming', 'growing', 'marketing', 'crops', 'could', 'hel…']","['primary', 'high', 'school', 'education', 'could', 'include', 'modules', 'farming', 'growing', 'marketing', 'crops', 'could', 'hel…']",0
35,2/19/2019 11:12,Reino Unido,75,542,tuesdaythoughts aim high  so you get far,"['tuesdaythoughts', 'aim', 'high', 'get', 'far']","['aim', 'high', 'get', 'far']",0
36,2/19/2019 11:12,"Sunshine Coast, Queensland",62,19,  connect with chris everett  ceo of captivate search marketing and founder… ,"['connect', 'chris', 'everett', 'ceo', 'captivate', 'search', 'marketing', 'founder…']","['connect', 'chris', 'everett', 'ceo', 'captivate', 'search', 'marketing', 'founder…']",0
37,2/19/2019 11:12,"North West, England",1790,920,"well done to our coniston and crake team, as well as the volunteers and to everyone who turned up to make a nest… ","['well', 'done', 'coniston', 'crake', 'team', 'well', 'volunteers', 'everyone', 'turned', 'make', 'nest…']","['well', 'done', 'coniston', 'crake', 'team', 'well', 'volunteers', 'everyone', 'turned', 'make', 'nest…']",0
38,2/19/2019 11:12,"Manchester, UK",1037,1020,struggle to manage your volunteers? sick of using spreadsheets? teamkinetic could be the solution for you chec… ,"['struggle', 'manage', 'volunteers', 'sick', 'using', 'spreadsheets', 'teamkinetic', 'could', 'solution', 'chec…']","['struggle', 'manage', 'volunteers', 'sick', 'using', 'spreadsheets', 'teamkinetic', 'could', 'solution', 'chec…']",0
39,2/19/2019 11:12,London,338,759,"maliaobama is a humanbeing with political opinions and also enjoys wine. the only thing worth worrying is, she… ","['maliaobama', 'humanbeing', 'political', 'opinions', 'also', 'enjoys', 'wine', 'thing', 'worth', 'worrying', 'she…']","['maliaobama', 'humanbeing', 'political', 'opinions', 'also', 'enjoys', 'wine', 'thing', 'worth', 'worrying', 'she…']",0
40,2/19/2019 11:12,,69,1154,a little extra can go a long way by adding in some garden games or food stalls to keep guests entertained. events… ,"['little', 'extra', 'go', 'long', 'way', 'adding', 'garden', 'games', 'food', 'stalls', 'keep', 'guests', 'entertained', 'events…']","['little', 'extra', 'go', 'long', 'way', 'adding', 'garden', 'games', 'food', 'stalls', 'keep', 'guests', 'entertained', 'events…']",0
41,2/19/2019 11:12,Beyσnd the \/\/σrld,1020,1496,you try to count &amp; recall how you spent it. 3. don't think of saving until you have real big money. how can you sav… ,"['try', 'count', 'amp', 'recall', 'spent', '3', 'dont', 'think', 'saving', 'real', 'big', 'money', 'sav…']","['try', 'count', 'amp', 'recall', 'spent', '3', 'dont', 'think', 'saving', 'real', 'big', 'money', 'sav…']",0
42,2/19/2019 11:12,west yorkshire and south,597,1201,half term madness we love it need suggestions for days with the kids come and pay us a visit   … ,"['half', 'term', 'madness', 'love', 'need', 'suggestions', 'days', 'kids', 'come', 'pay', 'us', 'visit', '…']","['half', 'term', 'madness', 'love', 'need', 'suggestions', 'days', 'kids', 'come', 'pay', 'us', 'visit']",0
43,2/19/2019 11:12,"Kent, UK",2961,800,ever decided that enough is enough? tuesdaythoughts a gorgeous romantic comedy from the bestselling author of w… ,"['ever', 'decided', 'enough', 'enough', 'tuesdaythoughts', 'gorgeous', 'romantic', 'comedy', 'bestselling', 'author', 'w…']","['ever', 'decided', 'enough', 'enough', 'gorgeous', 'romantic', 'comedy', 'bestselling', 'author', 'w…']",4
44,2/19/2019 11:12,"Woolavington, Somerset",483,510,i bet she feels udderly ridiculous now 🤣,"['bet', 'feels', 'udderly', 'ridiculous', '🤣']","['bet', 'feels', 'udderly', 'ridiculous', '🤣']",0
45,2/19/2019 11:12,"Islas Canarias, España",426,654,the  demonstrates the laboursplit claims of the party being hijacked by far left militants is false by re… ,"['demonstrates', 'laboursplit', 'claims', 'party', 'hijacked', 'far', 'left', 'militants', 'false', 're…']","['demonstrates', 'laboursplit', 'claims', 'party', 'hijacked', 'far', 'left', 'militants', 'false', 're…']",0
46,2/19/2019 11:12,"Nairobi, Kenya.",37447,368,"keep all important phone numbers, addresses, confirmation numbers, and similar in one of your notes apps. notepad,… ","['keep', 'important', 'phone', 'numbers', 'addresses', 'confirmation', 'numbers', 'similar', 'one', 'notes', 'apps', 'notepad…']","['keep', 'important', 'phone', 'numbers', 'addresses', 'confirmation', 'numbers', 'similar', 'one', 'notes', 'apps', 'notepad…']",0
47,2/19/2019 11:12,,1728,4627,tuesdaythoughts keep your head up  ,"['tuesdaythoughts', 'keep', 'head']","['keep', 'head']",0
48,2/19/2019 11:12,"Lagos, Nigeria",3419,1502,tuesdaythoughts tuesdaymotivation let your thoughts today be as clear as this pic  ,"['tuesdaythoughts', 'tuesdaymotivation', 'let', 'thoughts', 'today', 'clear', 'pic']","['tuesdaymotivation', 'let', 'today', 'clear', 'pic']",0
49,2/19/2019 11:12,,0,1, tiktok fusion5 tablet:  taheemrajat web:  fb:… ,"['tiktok', 'fusion5', 'tablet', 'taheemrajat', 'web', 'fb…']","['tiktok', 'fusion5', 'tablet', 'taheemrajat', 'web', 'fb…']",0
50,2/19/2019 11:12,"Los Angeles, CA",11641,11667,tuesdaythoughts: farrakhan praises omar’s antisemitic remarks: ‘shake up that bad cat in that corrupt house’… ,"['tuesdaythoughts', 'farrakhan', 'praises', 'omar’s', 'antisemitic', 'remarks', '‘shake', 'bad', 'cat', 'corrupt', 'house’…']","['farrakhan', 'praises', 'omar’s', 'antisemitic', 'remarks', '‘shake', 'bad', 'cat', 'corrupt', 'house’…']",0
51,2/19/2019 11:12,"Kentucky, USA",4148,4999,"tuesdaythoughts as we all know by now, the jessiesmolletthoax was fake news. as we find out over &amp; over again tha… ","['tuesdaythoughts', 'know', 'jessiesmolletthoax', 'fake', 'news', 'find', 'amp', 'tha…']","['know', 'jessiesmolletthoax', 'fake', 'news', 'find', 'amp', 'tha…']",0
52,2/19/2019 11:12,"Holborn, London",306,298,lord chief justice: ‘call out’ sexism on the bench  tuesdaythoughts,"['lord', 'chief', 'justice', '‘call', 'out’', 'sexism', 'bench', 'tuesdaythoughts']","['lord', 'chief', 'justice', '‘call', 'out’', 'sexism', 'bench']",4
53,2/19/2019 11:12,Kenya,2597,3625,some of your greatest hurt will come from people you helped. tuesdaythoughts,"['greatest', 'hurt', 'come', 'people', 'helped', 'tuesdaythoughts']","['greatest', 'hurt', 'come', 'people', 'helped']",0
54,2/19/2019 11:13,"London, England",33,168,how do you structure your study? are your goals smart? tuesdaythoughts tutoring london mathstutor sciencetutor… ,"['structure', 'study', 'goals', 'smart', 'tuesdaythoughts', 'tutoring', 'london', 'mathstutor', 'sciencetutor…']","['structure', 'study', 'goals', 'smart', 'tutoring', 'london', 'mathstutor', 'sciencetutor…']",0
55,2/19/2019 11:13,Nigeria,557,151,nowplaying   meekmillftfabolousanuelaauptownvibes.mp3 on unilagmusic with  &gt;… ,"['nowplaying', 'meekmillftfabolousanuelaauptownvibesmp3', 'unilagmusic', 'gt…']","['nowplaying', 'meekmillftfabolousanuelaauptownvibesmp3', 'unilagmusic', 'gt…']",0
56,2/19/2019 11:13,"Belfast, Northern Ireland",658,1369,another fantastic review from a happy candidate for blackfox this one is for engineering &amp; manufacturing consult… ,"['another', 'fantastic', 'review', 'happy', 'candidate', 'blackfox', 'one', 'engineering', 'amp', 'manufacturing', 'consult…']","['another', 'fantastic', 'review', 'happy', 'candidate', 'blackfox', 'one', 'engineering', 'amp', 'manufacturing', 'consult…']",0
57,2/19/2019 11:13,EC4Y 8BH,1789,423,fresh from  now available at the bar realale tuesdaythoughts beer sunny ,"['fresh', 'available', 'bar', 'realale', 'tuesdaythoughts', 'beer', 'sunny']","['fresh', 'available', 'bar', 'realale', 'beer', 'sunny']",4
58,2/19/2019 11:13,United States,828,937,"no matter .try again, fail again , fail better. positivevibes quotes tuesdaythoughts tuesdaymotivation… ","['matter', 'try', 'fail', 'fail', 'better', 'positivevibes', 'quotes', 'tuesdaythoughts', 'tuesdaymotivation…']","['matter', 'try', 'fail', 'fail', 'better', 'positivevibes', 'quotes', 'tuesdaymotivation…']",0
59,2/19/2019 11:13,Music,288,380,global music complete b o c madaki singles 2018: songs you can never get enough with  ,"['global', 'music', 'complete', 'b', 'c', 'madaki', 'singles', '2018', 'songs', 'never', 'get', 'enough']","['global', 'music', 'complete', 'b', 'c', 'madaki', 'singles', '2018', 'songs', 'never', 'get', 'enough']",4
60,2/19/2019 11:13,Everywhere but nowhere ,82,228,"tuesdaythoughts i hate coming to uni so early in the morning, it's too cold here","['tuesdaythoughts', 'hate', 'coming', 'uni', 'early', 'morning', 'cold']","['hate', 'coming', 'uni', 'early', 'morning', 'cold']",0
61,2/19/2019 11:13,"London, England",4070,3068,stone cold classic   tuesdaythoughts,"['stone', 'cold', 'classic', 'tuesdaythoughts']","['stone', 'cold', 'classic']",0
62,2/19/2019 11:13,,417,568,tuesdaythoughts  could you leave wealth of £1 million – tax free? ,"['tuesdaythoughts', 'could', 'leave', 'wealth', '£1', 'million', '–', 'tax', 'free']","['could', 'leave', 'wealth', '£1', 'million', '–', 'tax', 'free']",4
63,2/19/2019 11:13,"Enugu, Nigeria",2910,415,"nowplaying  onceuponatime""'   on playzone with  tuesday… ","['nowplaying', 'onceuponatime', 'playzone', 'tuesday…']","['nowplaying', 'onceuponatime', 'playzone', 'tuesday…']",0
64,2/19/2019 11:13,|Domain|LagNig|,545,415,happiness is so free i'd marry it. tuesdaythoughts ,"['happiness', 'free', 'id', 'marry', 'tuesdaythoughts']","['happiness', 'free', 'id', 'marry']",4
65,2/19/2019 11:13,,650,597,tuesdaymotivation inspirational tuesdaythoughts you can find strive in the presence of god and master the task o… ,"['tuesdaymotivation', 'inspirational', 'tuesdaythoughts', 'find', 'strive', 'presence', 'god', 'master', 'task', 'o…']","['tuesdaymotivation', 'inspirational', 'find', 'strive', 'presence', 'god', 'master', 'task', 'o…']",4
66,2/19/2019 11:13,,0,0,imagine with all your mind. believe with all your heart. achieve with all your might. express how you feel at… ,"['imagine', 'mind', 'believe', 'heart', 'achieve', 'might', 'express', 'feel', 'at…']","['imagine', 'mind', 'believe', 'heart', 'achieve', 'might', 'express', 'feel', 'at…']",0
67,2/19/2019 11:13,London,1774,1458,great to meet marianne from  thanks for coming along for a visit homelessness addiction london tuesdaythoughts,"['great', 'meet', 'marianne', 'thanks', 'coming', 'along', 'visit', 'homelessness', 'addiction', 'london', 'tuesdaythoughts']","['great', 'meet', 'marianne', 'thanks', 'coming', 'along', 'visit', 'homelessness', 'addiction', 'london']",4
68,2/19/2019 11:13,"Dhaka, Bangladesh",104,561,are you looking for a professional businesscard designer then contact_me :  ,"['looking', 'professional', 'businesscard', 'designer', 'contactme']","['looking', 'professional', 'businesscard', 'designer', 'contactme']",4
69,2/19/2019 11:13,"Ibadan, Nigeria",4971,4617,vibing future in your eyes  thezone with  terrifictuesday tuesdaythoughts ,"['vibing', 'future', 'eyes', 'thezone', 'terrifictuesday', 'tuesdaythoughts']","['vibing', 'future', 'eyes', 'thezone', 'terrifictuesday']",0
70,2/19/2019 11:13,"Effurun-Warri, Nigeria",969,541,"even though the election were moved, we must not be deterred your participation in the polls would determine the p… ","['even', 'though', 'election', 'moved', 'must', 'deterred', 'participation', 'polls', 'would', 'determine', 'p…']","['even', 'though', 'election', 'moved', 'must', 'deterred', 'participation', 'polls', 'would', 'determine', 'p…']",0
71,2/19/2019 11:13,Brighton,2011,1078,"it turns out, when you go to the gym in brighton with glitter on your face and long, stray wig hairs hanging off yo… ","['turns', 'go', 'gym', 'brighton', 'glitter', 'face', 'long', 'stray', 'wig', 'hairs', 'hanging', 'yo…']","['turns', 'go', 'gym', 'brighton', 'glitter', 'face', 'long', 'stray', 'wig', 'hairs', 'hanging', 'yo…']",0
72,2/19/2019 11:13,"Akure, Nigeria",40,144,so this d origin  lol naija tuesdaythoughts ,"['origin', 'lol', 'naija', 'tuesdaythoughts']","['origin', 'lol', 'naija']",0
73,2/19/2019 11:13,,0,35,true talk brother,"['true', 'talk', 'brother']","['true', 'talk', 'brother']",0
74,2/19/2019 11:13,United Kingdom,8229,7509,"you’re special and uniqueyou’re ‼ “if you’re lucky enough to be different, don’t ever change.” —taylor swift… ","['you’re', 'special', 'uniqueyou’re', '‼', '“if', 'you’re', 'lucky', 'enough', 'different', 'don’t', 'ever', 'change”', '—taylor', 'swift…']","['you’re', 'special', 'uniqueyou’re', '‼', '“if', 'you’re', 'lucky', 'enough', 'different', 'don’t', 'ever', 'change”', '—taylor', 'swift…']",0
75,2/19/2019 11:13,Nairobi,1741,4980,radioactivemixx terrifictuesday tuesdaythoughts tuesdaymotivation finepeoplefromkenya  rock… ,"['radioactivemixx', 'terrifictuesday', 'tuesdaythoughts', 'tuesdaymotivation', 'finepeoplefromkenya', 'rock…']","['radioactivemixx', 'terrifictuesday', 'tuesdaymotivation', 'finepeoplefromkenya', 'rock…']",4
76,2/19/2019 11:13,Faraway ,2990,3986,a good heart these days is hard to find a good heart the loving kind,"['good', 'heart', 'days', 'hard', 'find', 'good', 'heart', 'loving', 'kind']","['good', 'heart', 'days', 'hard', 'find', 'good', 'heart', 'loving', 'kind']",4
77,2/19/2019 11:13,"North Carolina, USA",513,438,"waking up this morning was really difficult. i just wanted to stay snuggled in my bed anyway, all hopes for a good… ","['waking', 'morning', 'really', 'difficult', 'wanted', 'stay', 'snuggled', 'bed', 'anyway', 'hopes', 'good…']","['waking', 'morning', 'really', 'difficult', 'wanted', 'stay', 'snuggled', 'bed', 'anyway', 'hopes', 'good…']",0
78,2/19/2019 11:14,"Whitworth, Lancashire",758,612,think vegan  vegan veganfriendly veganfood nougat confectionery tuesdaythoughts caramel saltedcaramel… ,"['think', 'vegan', 'vegan', 'veganfriendly', 'veganfood', 'nougat', 'confectionery', 'tuesdaythoughts', 'caramel', 'saltedcaramel…']","['think', 'vegan', 'vegan', 'veganfriendly', 'veganfood', 'nougat', 'confectionery', 'caramel', 'saltedcaramel…']",0
79,2/19/2019 11:14,,70,168,when in reality they are just wasting time. read daily and you'll be an edge against most of the competition … ,"['reality', 'wasting', 'time', 'read', 'daily', 'youll', 'edge', 'competition', '…']","['reality', 'wasting', 'time', 'read', 'daily', 'youll', 'edge', 'competition']",0
80,2/19/2019 11:14,Milton Keynes Uk,3880,2957, holiday flights uk travel vacation london paradise miltonkeynes airport… ,"['holiday', 'flights', 'uk', 'travel', 'vacation', 'london', 'paradise', 'miltonkeynes', 'airport…']","['holiday', 'flights', 'uk', 'travel', 'vacation', 'london', 'paradise', 'miltonkeynes', 'airport…']",0
81,2/19/2019 11:14,,359,178,"tuesdaythoughts of the most beautiful, genuine, classy ashleyjones a modern day laudreyhepburn ","['tuesdaythoughts', 'beautiful', 'genuine', 'classy', 'ashleyjones', 'modern', 'day', 'laudreyhepburn']","['beautiful', 'genuine', 'classy', 'ashleyjones', 'modern', 'day', 'laudreyhepburn']",0
82,2/19/2019 11:14,Nairobi,1741,4980,radioactivemixx terrifictuesday tuesdaythoughts tuesdaymotivation finepeoplefromkenya  all i… ,"['radioactivemixx', 'terrifictuesday', 'tuesdaythoughts', 'tuesdaymotivation', 'finepeoplefromkenya', 'i…']","['radioactivemixx', 'terrifictuesday', 'tuesdaymotivation', 'finepeoplefromkenya', 'i…']",0
83,2/19/2019 11:14,Arua - Uganda,292,235,"proverb girls are like mangos, you keep on waiting while others are eating with salt. somalia tuesdaythoughts … ","['proverb', 'girls', 'like', 'mangos', 'keep', 'waiting', 'others', 'eating', 'salt', 'somalia', 'tuesdaythoughts', '…']","['proverb', 'girls', 'like', 'mangos', 'keep', 'waiting', 'others', 'eating', 'salt', 'somalia']",0
84,2/19/2019 11:14,North West England,1843,2793,"i don't honestly know which is the best way forward, revokea50 or peoplesvote but at this stage i will climb abo… ","['dont', 'honestly', 'know', 'best', 'way', 'forward', 'revokea50', 'peoplesvote', 'stage', 'climb', 'abo…']","['dont', 'honestly', 'know', 'best', 'way', 'forward', 'revokea50', 'peoplesvote', 'stage', 'climb', 'abo…']",4
85,2/19/2019 11:14,"South West, England",6082,5513,[ad book review] 5*review dearrosiehughes    'the ending i… ,"['ad', 'book', 'review', '5review', 'dearrosiehughes', 'ending', 'i…']","['ad', 'book', 'review', '5review', 'dearrosiehughes', 'ending', 'i…']",4
86,2/19/2019 11:14,"New Jersey, USA",9200,6165,"new) two minute timeout for teachers: ""you were built to sail"" check it out and be encouraged today.… ","['new', 'two', 'minute', 'timeout', 'teachers', 'built', 'sail', 'check', 'encouraged', 'today…']","['new', 'two', 'minute', 'timeout', 'teachers', 'built', 'sail', 'check', 'encouraged', 'today…']",0
87,2/19/2019 11:14,"Paisley, UK",44,25,every single day is a new chance to try again. join us  for your next treatment. tuesdaythoughts,"['every', 'single', 'day', 'new', 'chance', 'try', 'join', 'us', 'next', 'treatment', 'tuesdaythoughts']","['every', 'single', 'day', 'new', 'chance', 'try', 'join', 'us', 'next', 'treatment']",0
